week,position,song,artist
9/29/1997,25,"Mo Money,mo Problems",Notorious B.I.G.
9/29/1997,26,You Make Me Wanna...,Usher
9/29/1997,27,On My Own,Peach Union
9/29/1997,28,Where's The Love?,Hanson
9/29/1997,29,Coco Jamboo,Mr.President
9/29/1997,30,The Impression That I Get,Mighty Mighty Bosstones
9/29/1997,31,Return Of The Mack,Mark Morrison
9/29/1997,32,Not Tonight,"Lil' Kim Feat. Da Brat. Left Eye, Elliott And Angie Martinez"
9/29/1997,33,Up Jumps Da Boogie,Magoo &amp; Timbaland
9/29/1997,34,You Should Be Mine (Don't Waste Your Time),Brian McKnight &amp; Mase
9/29/1997,35,Criminal,Fiona Apple
9/29/1997,36,Never Make A Promise,Dru Hill
