,week,position,song,artist
403,9/15/1997,4,Foolish Games,Jewel
404,9/15/1997,5,Honey,Mariah Carey
405,9/15/1997,6,All For You,Sister Hazel
406,9/15/1997,7,Do You Know,Robyn
407,9/15/1997,8,I'll Be Missing You,Puff Daddy
408,9/15/1997,9,Invisible Man,98 Degrees
409,9/15/1997,10,Push,Matchbox 20
410,9/15/1997,11,Bitch,Meredith Brooks
411,9/15/1997,12,Sunny Came Home,Shawn Colvin
412,9/15/1997,13,Men In Black,Will Smith
413,9/15/1997,14,How Bizarre,Omc
414,9/15/1997,15,How Do I Live,LeAnn Rimes
415,9/15/1997,16,Barbie Girl,Aqua
416,9/15/1997,17,The Freshmen,Verve Pipe
417,9/15/1997,18,Building A Mystery,Sarah McLachlan
418,9/15/1997,19,Where's The Love?,Hanson
419,9/15/1997,20,Return Of The Mack,Mark Morrison
420,9/15/1997,21,Coco Jamboo,Mr.President
421,9/15/1997,22,The Difference,Wallflowers
422,9/15/1997,23,Fly,Sugar Ray
423,9/15/1997,24,"Mo Money,mo Problems",Notorious B.I.G.
424,9/15/1997,25,You Make Me Wanna...,Usher
425,9/15/1997,26,If You Could Only See,Tonic
426,9/15/1997,27,I Don't Want To Wait,Paula Cole
427,9/15/1997,28,Hard To Say I'm Sorry,Az Yet
428,9/15/1997,29,Up Jumps Da Boogie,Magoo
429,9/15/1997,30,All Cried Out,Allure
430,9/15/1997,31,Crash Into Me,Dave Matthews Band
431,9/15/1997,32,Never Make A Promise,Dru Hill
432,9/15/1997,33,Not Tonight,Lil' Kim
433,9/15/1997,34,A Change Would Do You Good,Sheryl Crow
434,9/15/1997,35,You Should Be Mine (Don't Waste Your Time),Brian McKnight
435,9/15/1997,36,What About Us,Total
436,9/15/1997,37,The Impression That I Get,Mighty Mighty Bosstones
438,9/15/1997,39,Barely Breathing,Duncan Sheik
439,9/15/1997,40,Someone,SWV
440,9/22/1997,1,Foolish Games,Jewel
441,9/22/1997,2,Quit Playing Games (with My Heart),Backstreet Boys
442,9/22/1997,3,Semi-charmed Life,Third Eye Blind
443,9/22/1997,4,2 Become 1,Spice Girls
444,9/22/1997,5,Honey,Mariah Carey
445,9/22/1997,6,All For You,Sister Hazel
446,9/22/1997,7,Invisible Man,98 Degrees
447,9/22/1997,8,How Do I Live,LeAnn Rimes
448,9/22/1997,9,I'll Be Missing You,Puff Daddy
449,9/22/1997,10,Do You Know,Robyn
450,9/22/1997,11,Building A Mystery,Sarah McLachlan
451,9/22/1997,12,Push,Matchbox 20
452,9/22/1997,13,Sunny Came Home,Shawn Colvin
453,9/22/1997,14,Men In Black,Will Smith
454,9/22/1997,15,Bitch,Meredith Brooks
455,9/22/1997,16,How Bizarre,Omc
456,9/22/1997,17,Barbie Girl,Aqua
457,9/22/1997,18,Fly,Sugar Ray
458,9/22/1997,19,The Freshmen,Verve Pipe
459,9/22/1997,20,Where's The Love?,Hanson
460,9/22/1997,21,Return Of The Mack,Mark Morrison
461,9/22/1997,22,4 Seasons Of Loneliness,Boyz II Men
462,9/22/1997,23,Coco Jamboo,Mr.President
463,9/22/1997,24,The Difference,Wallflowers
464,9/22/1997,25,I Don't Want To Wait,Paula Cole
465,9/22/1997,26,If You Could Only See,Tonic
466,9/22/1997,27,You Make Me Wanna...,Usher
467,9/22/1997,28,"Mo Money,mo Problems",Notorious B.I.G.
468,9/22/1997,29,All Cried Out,Allure
469,9/22/1997,30,Not Tonight,Lil' Kim
470,9/22/1997,31,On My Own,Peach Union
471,9/22/1997,32,Up Jumps Da Boogie,Magoo
472,9/22/1997,33,Hard To Say I'm Sorry,Az Yet
473,9/22/1997,34,Crash Into Me,Dave Matthews Band
474,9/22/1997,35,Never Make A Promise,Dru Hill
475,9/22/1997,36,The Impression That I Get,Mighty Mighty Bosstones
476,9/22/1997,37,You Should Be Mine (Don't Waste Your Time),Brian McKnight
477,9/22/1997,38,My Love Is The Shhh!,Somethin' For The People
478,9/22/1997,39,What About Us,Total
479,9/22/1997,40,Barely Breathing,Duncan Sheik
480,9/29/1997,1,Foolish Games,Jewel
481,9/29/1997,2,Quit Playing Games (with My Heart),Backstreet Boys
482,9/29/1997,3,Semi-charmed Life,Third Eye Blind
483,9/29/1997,4,2 Become 1,Spice Girls
484,9/29/1997,5,Honey,Mariah Carey
485,9/29/1997,6,Push,Matchbox 20
486,9/29/1997,7,All For You,Sister Hazel
487,9/29/1997,8,How Do I Live,LeAnn Rimes
488,9/29/1997,9,Invisible Man,98 Degrees
489,9/29/1997,10,4 Seasons Of Loneliness,Boyz II Men
490,9/29/1997,11,Building A Mystery,Sarah McLachlan
491,9/29/1997,12,Fly,Sugar Ray
492,9/29/1997,13,I'll Be Missing You,Puff Daddy
493,9/29/1997,14,Do You Know,Robyn
494,9/29/1997,15,Men In Black,Will Smith
495,9/29/1997,16,Sunny Came Home,Shawn Colvin
496,9/29/1997,17,Bitch,Meredith Brooks
497,9/29/1997,18,Barbie Girl,Aqua
498,9/29/1997,19,How Bizarre,Omc
499,9/29/1997,20,I Don't Want To Wait,Paula Cole
500,9/29/1997,21,The Freshmen,Verve Pipe
501,9/29/1997,22,All Cried Out,Allure
502,9/29/1997,23,If You Could Only See,Tonic
503,9/29/1997,24,The Difference,Wallflowers
504,9/29/1997,25,"Mo Money,mo Problems",Notorious B.I.G.
505,9/29/1997,26,You Make Me Wanna...,Usher
506,9/29/1997,27,On My Own,Peach Union
507,9/29/1997,28,Where's The Love?,Hanson
508,9/29/1997,29,Coco Jamboo,Mr.President
509,9/29/1997,30,The Impression That I Get,Mighty Mighty Bosstones
510,9/29/1997,31,Return Of The Mack,Mark Morrison
511,9/29/1997,32,Not Tonight,Lil' Kim
512,9/29/1997,33,Up Jumps Da Boogie,Magoo
513,9/29/1997,34,You Should Be Mine (Don't Waste Your Time),Brian McKnight
514,9/29/1997,35,Criminal,Fiona Apple
