chart_order,week,position,song,artist,combo_str
341,1997-10-06,12,Building A Mystery,Sarah McLachlan,Sarah McLachlanBuilding A Mystery
342,1997-10-06,14,Do You Know,Robyn,RobynDo You Know
343,1997-10-06,16,I Don't Want To Wait,Paula Cole,Paula ColeI Don't Want To Wait
344,1997-10-06,17,All Cried Out,Allure,AllureAll Cried Out
345,1997-10-06,18,How Bizarre,Omc,OmcHow Bizarre
346,1997-10-06,20,Bitch,Meredith Brooks,Meredith BrooksBitch
347,1997-10-06,21,If You Could Only See,Tonic,TonicIf You Could Only See
348,1997-10-06,23,Barbie Girl,Aqua,AquaBarbie Girl
349,1997-10-06,25,The Freshmen,Verve Pipe,Verve PipeThe Freshmen
350,1997-10-06,26,Sunny Came Home,Shawn Colvin,Shawn ColvinSunny Came Home
351,1997-10-06,28,The Difference,Wallflowers,WallflowersThe Difference
352,1997-10-06,29,The Impression That I Get,Mighty Mighty Bosstones,Mighty Mighty BosstonesThe Impression That I Get
353,1997-10-06,31,Show Me Love,Robyn,RobynShow Me Love
354,1997-10-06,32,My Love Is The Shhh!,Somethin' For The People,Somethin' For The PeopleMy Love Is The Shhh!
355,1997-10-06,37,Criminal,Fiona Apple,Fiona AppleCriminal
356,1997-10-06,38,What About Us,Total,TotalWhat About Us
357,1997-10-06,39,Tubthumping,Chumbawamba,ChumbawambaTubthumping
358,1997-10-06,40,Legend Of A Cowgirl,Imani Coppola,Imani CoppolaLegend Of A Cowgirl
359,1997-10-13,2,Quit Playing Games (with My Heart),Backstreet Boys,Backstreet BoysQuit Playing Games (with My Heart)
360,1997-10-13,3,Semi-charmed Life,Third Eye Blind,Third Eye BlindSemi-charmed Life
361,1997-10-13,4,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
362,1997-10-13,5,Fly,Sugar Ray,Sugar RayFly
363,1997-10-13,8,2 Become 1,Spice Girls,Spice Girls2 Become 1
364,1997-10-13,10,All For You,Sister Hazel,Sister HazelAll For You
365,1997-10-13,11,Building A Mystery,Sarah McLachlan,Sarah McLachlanBuilding A Mystery
366,1997-10-13,14,All Cried Out,Allure,AllureAll Cried Out
367,1997-10-13,15,Do You Know,Robyn,RobynDo You Know
368,1997-10-13,16,I Don't Want To Wait,Paula Cole,Paula ColeI Don't Want To Wait
369,1997-10-13,20,Show Me Love,Robyn,RobynShow Me Love
370,1997-10-13,21,If You Could Only See,Tonic,TonicIf You Could Only See
371,1997-10-13,23,How Bizarre,Omc,OmcHow Bizarre
372,1997-10-13,24,Bitch,Meredith Brooks,Meredith BrooksBitch
373,1997-10-13,26,The Impression That I Get,Mighty Mighty Bosstones,Mighty Mighty BosstonesThe Impression That I Get
374,1997-10-13,28,My Love Is The Shhh!,Somethin' For The People,Somethin' For The PeopleMy Love Is The Shhh!
375,1997-10-13,29,Tubthumping,Chumbawamba,ChumbawambaTubthumping
376,1997-10-13,30,Legend Of A Cowgirl,Imani Coppola,Imani CoppolaLegend Of A Cowgirl
377,1997-10-13,31,Barbie Girl,Aqua,AquaBarbie Girl
378,1997-10-13,34,The Freshmen,Verve Pipe,Verve PipeThe Freshmen
379,1997-10-13,35,What About Us,Total,TotalWhat About Us
380,1997-10-13,36,The Difference,Wallflowers,WallflowersThe Difference
381,1997-10-13,37,Criminal,Fiona Apple,Fiona AppleCriminal
382,1997-10-13,38,Butta Love,Next,NextButta Love
383,1997-10-13,40,Walkin' On The Sun,Smash Mouth,Smash MouthWalkin' On The Sun
384,1997-10-20,2,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
385,1997-10-20,3,Fly,Sugar Ray,Sugar RayFly
386,1997-10-20,4,Quit Playing Games (with My Heart),Backstreet Boys,Backstreet BoysQuit Playing Games (with My Heart)
387,1997-10-20,6,Semi-charmed Life,Third Eye Blind,Third Eye BlindSemi-charmed Life
388,1997-10-20,9,2 Become 1,Spice Girls,Spice Girls2 Become 1
389,1997-10-20,10,Building A Mystery,Sarah McLachlan,Sarah McLachlanBuilding A Mystery
390,1997-10-20,11,All For You,Sister Hazel,Sister HazelAll For You
391,1997-10-20,13,All Cried Out,Allure,AllureAll Cried Out
392,1997-10-20,14,I Don't Want To Wait,Paula Cole,Paula ColeI Don't Want To Wait
393,1997-10-20,15,Tubthumping,Chumbawamba,ChumbawambaTubthumping
394,1997-10-20,18,Show Me Love,Robyn,RobynShow Me Love
395,1997-10-20,19,Do You Know,Robyn,RobynDo You Know
396,1997-10-20,20,If You Could Only See,Tonic,TonicIf You Could Only See
397,1997-10-20,23,Legend Of A Cowgirl,Imani Coppola,Imani CoppolaLegend Of A Cowgirl
398,1997-10-20,26,Walkin' On The Sun,Smash Mouth,Smash MouthWalkin' On The Sun
399,1997-10-20,28,The Impression That I Get,Mighty Mighty Bosstones,Mighty Mighty BosstonesThe Impression That I Get
400,1997-10-20,29,How Bizarre,Omc,OmcHow Bizarre
401,1997-10-20,30,My Love Is The Shhh!,Somethin' For The People,Somethin' For The PeopleMy Love Is The Shhh!
402,1997-10-20,31,Bitch,Meredith Brooks,Meredith BrooksBitch
403,1997-10-20,32,Criminal,Fiona Apple,Fiona AppleCriminal
404,1997-10-20,35,What About Us,Total,TotalWhat About Us
405,1997-10-20,36,Butta Love,Next,NextButta Love
406,1997-10-20,37,The Freshmen,Verve Pipe,Verve PipeThe Freshmen
407,1997-10-27,2,Fly,Sugar Ray,Sugar RayFly
408,1997-10-27,4,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
409,1997-10-27,5,Quit Playing Games (with My Heart),Backstreet Boys,Backstreet BoysQuit Playing Games (with My Heart)
410,1997-10-27,6,Semi-charmed Life,Third Eye Blind,Third Eye BlindSemi-charmed Life
411,1997-10-27,8,Tubthumping,Chumbawamba,ChumbawambaTubthumping
412,1997-10-27,9,I Don't Want To Wait,Paula Cole,Paula ColeI Don't Want To Wait
413,1997-10-27,10,Building A Mystery,Sarah McLachlan,Sarah McLachlanBuilding A Mystery
414,1997-10-27,11,2 Become 1,Spice Girls,Spice Girls2 Become 1
415,1997-10-27,12,All For You,Sister Hazel,Sister HazelAll For You
416,1997-10-27,13,All Cried Out,Allure,AllureAll Cried Out
417,1997-10-27,14,Show Me Love,Robyn,RobynShow Me Love
418,1997-10-27,18,If You Could Only See,Tonic,TonicIf You Could Only See
419,1997-10-27,20,Legend Of A Cowgirl,Imani Coppola,Imani CoppolaLegend Of A Cowgirl
420,1997-10-27,21,Walkin' On The Sun,Smash Mouth,Smash MouthWalkin' On The Sun
421,1997-10-27,24,Do You Know,Robyn,RobynDo You Know
422,1997-10-27,26,Criminal,Fiona Apple,Fiona AppleCriminal
423,1997-10-27,29,The Impression That I Get,Mighty Mighty Bosstones,Mighty Mighty BosstonesThe Impression That I Get
424,1997-10-27,30,How Bizarre,Omc,OmcHow Bizarre
425,1997-10-27,31,My Love Is The Shhh!,Somethin' For The People,Somethin' For The PeopleMy Love Is The Shhh!
426,1997-10-27,34,What About Us,Total,TotalWhat About Us
427,1997-10-27,36,Butta Love,Next,NextButta Love
428,1997-10-27,40,Bitch,Meredith Brooks,Meredith BrooksBitch
429,1997-11-03,1,Fly,Sugar Ray,Sugar RayFly
430,1997-11-03,4,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
431,1997-11-03,5,Tubthumping,Chumbawamba,ChumbawambaTubthumping
432,1997-11-03,7,Semi-charmed Life,Third Eye Blind,Third Eye BlindSemi-charmed Life
433,1997-11-03,8,Quit Playing Games (with My Heart),Backstreet Boys,Backstreet BoysQuit Playing Games (with My Heart)
434,1997-11-03,9,I Don't Want To Wait,Paula Cole,Paula ColeI Don't Want To Wait
435,1997-11-03,10,Building A Mystery,Sarah McLachlan,Sarah McLachlanBuilding A Mystery
436,1997-11-03,11,All Cried Out,Allure,AllureAll Cried Out
437,1997-11-03,12,All For You,Sister Hazel,Sister HazelAll For You
438,1997-11-03,13,Show Me Love,Robyn,RobynShow Me Love
439,1997-11-03,14,2 Become 1,Spice Girls,Spice Girls2 Become 1
440,1997-11-03,16,Walkin' On The Sun,Smash Mouth,Smash MouthWalkin' On The Sun
441,1997-11-03,18,If You Could Only See,Tonic,TonicIf You Could Only See
442,1997-11-03,19,Legend Of A Cowgirl,Imani Coppola,Imani CoppolaLegend Of A Cowgirl
443,1997-11-03,21,Criminal,Fiona Apple,Fiona AppleCriminal
444,1997-11-03,25,The Impression That I Get,Mighty Mighty Bosstones,Mighty Mighty BosstonesThe Impression That I Get
445,1997-11-03,27,My Love Is The Shhh!,Somethin' For The People,Somethin' For The PeopleMy Love Is The Shhh!
446,1997-11-03,32,How Bizarre,Omc,OmcHow Bizarre
447,1997-11-03,33,My Body,LSG,LSGMy Body
448,1997-11-03,35,Do You Know,Robyn,RobynDo You Know
449,1997-11-03,36,What About Us,Total,TotalWhat About Us
450,1997-11-03,38,I Will Come To You,Hanson,HansonI Will Come To You
451,1997-11-03,40,Butta Love,Next,NextButta Love
452,1997-11-10,1,Fly,Sugar Ray,Sugar RayFly
453,1997-11-10,2,Tubthumping,Chumbawamba,ChumbawambaTubthumping
454,1997-11-10,3,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
455,1997-11-10,6,Show Me Love,Robyn,RobynShow Me Love
456,1997-11-10,7,I Don't Want To Wait,Paula Cole,Paula ColeI Don't Want To Wait
457,1997-11-10,9,Semi-charmed Life,Third Eye Blind,Third Eye BlindSemi-charmed Life
458,1997-11-10,10,All Cried Out,Allure,AllureAll Cried Out
459,1997-11-10,11,Quit Playing Games (with My Heart),Backstreet Boys,Backstreet BoysQuit Playing Games (with My Heart)
460,1997-11-10,12,Building A Mystery,Sarah McLachlan,Sarah McLachlanBuilding A Mystery
461,1997-11-10,14,All For You,Sister Hazel,Sister HazelAll For You
462,1997-11-10,15,Walkin' On The Sun,Smash Mouth,Smash MouthWalkin' On The Sun
463,1997-11-10,17,2 Become 1,Spice Girls,Spice Girls2 Become 1
464,1997-11-10,18,Criminal,Fiona Apple,Fiona AppleCriminal
465,1997-11-10,19,If You Could Only See,Tonic,TonicIf You Could Only See
466,1997-11-10,21,Legend Of A Cowgirl,Imani Coppola,Imani CoppolaLegend Of A Cowgirl
467,1997-11-10,25,The Impression That I Get,Mighty Mighty Bosstones,Mighty Mighty BosstonesThe Impression That I Get
468,1997-11-10,26,My Love Is The Shhh!,Somethin' For The People,Somethin' For The PeopleMy Love Is The Shhh!
469,1997-11-10,27,My Body,LSG,LSGMy Body
470,1997-11-10,33,How Bizarre,Omc,OmcHow Bizarre
471,1997-11-10,34,What About Us,Total,TotalWhat About Us
472,1997-11-10,37,Butta Love,Next,NextButta Love
473,1997-11-10,38,I Will Come To You,Hanson,HansonI Will Come To You
474,1997-11-17,1,Fly,Sugar Ray,Sugar RayFly
475,1997-11-17,2,Tubthumping,Chumbawamba,ChumbawambaTubthumping
476,1997-11-17,3,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
477,1997-11-17,5,Show Me Love,Robyn,RobynShow Me Love
478,1997-11-17,7,All Cried Out,Allure,AllureAll Cried Out
479,1997-11-17,8,I Don't Want To Wait,Paula Cole,Paula ColeI Don't Want To Wait
480,1997-11-17,11,Semi-charmed Life,Third Eye Blind,Third Eye BlindSemi-charmed Life
481,1997-11-17,12,Quit Playing Games (with My Heart),Backstreet Boys,Backstreet BoysQuit Playing Games (with My Heart)
482,1997-11-17,13,Building A Mystery,Sarah McLachlan,Sarah McLachlanBuilding A Mystery
483,1997-11-17,14,Walkin' On The Sun,Smash Mouth,Smash MouthWalkin' On The Sun
484,1997-11-17,15,Criminal,Fiona Apple,Fiona AppleCriminal
485,1997-11-17,16,All For You,Sister Hazel,Sister HazelAll For You
486,1997-11-17,19,If You Could Only See,Tonic,TonicIf You Could Only See
487,1997-11-17,20,Legend Of A Cowgirl,Imani Coppola,Imani CoppolaLegend Of A Cowgirl
488,1997-11-17,21,2 Become 1,Spice Girls,Spice Girls2 Become 1
489,1997-11-17,24,My Body,LSG,LSGMy Body
490,1997-11-17,25,My Love Is The Shhh!,Somethin' For The People,Somethin' For The PeopleMy Love Is The Shhh!
491,1997-11-17,27,I Do,Lisa Loeb,Lisa LoebI Do
492,1997-11-17,30,I Will Come To You,Hanson,HansonI Will Come To You
493,1997-11-17,33,As Long As You Love Me,Backstreet Boys,Backstreet BoysAs Long As You Love Me
494,1997-11-17,34,The Impression That I Get,Mighty Mighty Bosstones,Mighty Mighty BosstonesThe Impression That I Get
495,1997-11-17,37,What About Us,Total,TotalWhat About Us
496,1997-11-17,38,Butta Love,Next,NextButta Love
497,1997-11-17,39,Spice Up Your Life,Spice Girls,Spice GirlsSpice Up Your Life
498,1997-11-24,1,Tubthumping,Chumbawamba,ChumbawambaTubthumping
499,1997-11-24,2,Fly,Sugar Ray,Sugar RayFly
500,1997-11-24,3,Show Me Love,Robyn,RobynShow Me Love
501,1997-11-24,4,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
502,1997-11-24,6,I Don't Want To Wait,Paula Cole,Paula ColeI Don't Want To Wait
503,1997-11-24,9,All Cried Out,Allure,AllureAll Cried Out
504,1997-11-24,11,Semi-charmed Life,Third Eye Blind,Third Eye BlindSemi-charmed Life
505,1997-11-24,12,Quit Playing Games (with My Heart),Backstreet Boys,Backstreet BoysQuit Playing Games (with My Heart)
506,1997-11-24,13,Walkin' On The Sun,Smash Mouth,Smash MouthWalkin' On The Sun
507,1997-11-24,14,I Will Come To You,Hanson,HansonI Will Come To You
508,1997-11-24,16,Criminal,Fiona Apple,Fiona AppleCriminal
509,1997-11-24,17,All For You,Sister Hazel,Sister HazelAll For You
510,1997-11-24,18,Building A Mystery,Sarah McLachlan,Sarah McLachlanBuilding A Mystery
511,1997-11-24,19,I Do,Lisa Loeb,Lisa LoebI Do
512,1997-11-24,21,If You Could Only See,Tonic,TonicIf You Could Only See
513,1997-11-24,22,As Long As You Love Me,Backstreet Boys,Backstreet BoysAs Long As You Love Me
514,1997-11-24,25,Legend Of A Cowgirl,Imani Coppola,Imani CoppolaLegend Of A Cowgirl
515,1997-11-24,26,My Love Is The Shhh!,Somethin' For The People,Somethin' For The PeopleMy Love Is The Shhh!
516,1997-11-24,27,My Body,LSG,LSGMy Body
517,1997-11-24,30,2 Become 1,Spice Girls,Spice Girls2 Become 1
518,1997-11-24,35,Butta Love,Next,NextButta Love
519,1997-11-24,36,Spice Up Your Life,Spice Girls,Spice GirlsSpice Up Your Life
520,1997-11-24,38,What About Us,Total,TotalWhat About Us
521,1997-12-01,1,Tubthumping,Chumbawamba,ChumbawambaTubthumping
522,1997-12-01,2,Show Me Love,Robyn,RobynShow Me Love
523,1997-12-01,3,Fly,Sugar Ray,Sugar RayFly
524,1997-12-01,5,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
525,1997-12-01,6,I Don't Want To Wait,Paula Cole,Paula ColeI Don't Want To Wait
526,1997-12-01,7,All Cried Out,Allure,AllureAll Cried Out
527,1997-12-01,11,Semi-charmed Life,Third Eye Blind,Third Eye BlindSemi-charmed Life
528,1997-12-01,12,Walkin' On The Sun,Smash Mouth,Smash MouthWalkin' On The Sun
529,1997-12-01,13,I Will Come To You,Hanson,HansonI Will Come To You
530,1997-12-01,14,I Do,Lisa Loeb,Lisa LoebI Do
531,1997-12-01,15,Quit Playing Games (with My Heart),Backstreet Boys,Backstreet BoysQuit Playing Games (with My Heart)
532,1997-12-01,16,Criminal,Fiona Apple,Fiona AppleCriminal
533,1997-12-01,18,As Long As You Love Me,Backstreet Boys,Backstreet BoysAs Long As You Love Me
534,1997-12-01,19,All For You,Sister Hazel,Sister HazelAll For You
535,1997-12-01,22,Building A Mystery,Sarah McLachlan,Sarah McLachlanBuilding A Mystery
536,1997-12-01,23,If You Could Only See,Tonic,TonicIf You Could Only See
537,1997-12-01,27,My Body,LSG,LSGMy Body
538,1997-12-01,28,My Love Is The Shhh!,Somethin' For The People,Somethin' For The PeopleMy Love Is The Shhh!
539,1997-12-01,29,Together Again,Janet Jackson,Janet JacksonTogether Again
540,1997-12-01,34,Butta Love,Next,NextButta Love
541,1997-12-01,35,Legend Of A Cowgirl,Imani Coppola,Imani CoppolaLegend Of A Cowgirl
542,1997-12-01,36,Spice Up Your Life,Spice Girls,Spice GirlsSpice Up Your Life
543,1997-12-01,37,What About Us,Total,TotalWhat About Us
544,1997-12-01,39,Love You Down,Inoj,InojLove You Down
545,1997-12-01,40,How's It Going To Be,Third Eye Blind,Third Eye BlindHow's It Going To Be
546,1997-12-08,1,Tubthumping,Chumbawamba,ChumbawambaTubthumping
547,1997-12-08,2,Show Me Love,Robyn,RobynShow Me Love
548,1997-12-08,3,Fly,Sugar Ray,Sugar RayFly
549,1997-12-08,5,All Cried Out,Allure,AllureAll Cried Out
550,1997-12-08,6,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
551,1997-12-08,7,I Don't Want To Wait,Paula Cole,Paula ColeI Don't Want To Wait
552,1997-12-08,11,I Do,Lisa Loeb,Lisa LoebI Do
553,1997-12-08,12,Walkin' On The Sun,Smash Mouth,Smash MouthWalkin' On The Sun
554,1997-12-08,13,As Long As You Love Me,Backstreet Boys,Backstreet BoysAs Long As You Love Me
555,1997-12-08,14,I Will Come To You,Hanson,HansonI Will Come To You
556,1997-12-08,15,Criminal,Fiona Apple,Fiona AppleCriminal
557,1997-12-08,17,Semi-charmed Life,Third Eye Blind,Third Eye BlindSemi-charmed Life
558,1997-12-08,19,Quit Playing Games (with My Heart),Backstreet Boys,Backstreet BoysQuit Playing Games (with My Heart)
559,1997-12-08,21,All For You,Sister Hazel,Sister HazelAll For You
560,1997-12-08,23,Building A Mystery,Sarah McLachlan,Sarah McLachlanBuilding A Mystery
561,1997-12-08,24,If You Could Only See,Tonic,TonicIf You Could Only See
562,1997-12-08,25,My Love Is The Shhh!,Somethin' For The People,Somethin' For The PeopleMy Love Is The Shhh!
563,1997-12-08,27,Together Again,Janet Jackson,Janet JacksonTogether Again
564,1997-12-08,28,My Body,LSG,LSGMy Body
565,1997-12-08,33,Spice Up Your Life,Spice Girls,Spice GirlsSpice Up Your Life
566,1997-12-08,34,Butta Love,Next,NextButta Love
567,1997-12-08,36,How's It Going To Be,Third Eye Blind,Third Eye BlindHow's It Going To Be
568,1997-12-08,38,What About Us,Total,TotalWhat About Us
569,1997-12-08,39,Love You Down,Inoj,InojLove You Down
570,1997-12-08,40,A Song For Mama,Boyz II Men,Boyz II MenA Song For Mama
571,1997-12-15,1,Tubthumping,Chumbawamba,ChumbawambaTubthumping
572,1997-12-15,2,Show Me Love,Robyn,RobynShow Me Love
573,1997-12-15,3,Fly,Sugar Ray,Sugar RayFly
574,1997-12-15,5,All Cried Out,Allure,AllureAll Cried Out
575,1997-12-15,6,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
576,1997-12-15,7,I Don't Want To Wait,Paula Cole,Paula ColeI Don't Want To Wait
577,1997-12-15,9,Walkin' On The Sun,Smash Mouth,Smash MouthWalkin' On The Sun
578,1997-12-15,11,I Do,Lisa Loeb,Lisa LoebI Do
579,1997-12-15,12,Together Again,Janet Jackson,Janet JacksonTogether Again
580,1997-12-15,13,As Long As You Love Me,Backstreet Boys,Backstreet BoysAs Long As You Love Me
581,1997-12-15,15,I Will Come To You,Hanson,HansonI Will Come To You
582,1997-12-15,18,Semi-charmed Life,Third Eye Blind,Third Eye BlindSemi-charmed Life
583,1997-12-15,19,Criminal,Fiona Apple,Fiona AppleCriminal
584,1997-12-15,21,My Love Is The Shhh!,Somethin' For The People,Somethin' For The PeopleMy Love Is The Shhh!
585,1997-12-15,22,If You Could Only See,Tonic,TonicIf You Could Only See
586,1997-12-15,24,How's It Going To Be,Third Eye Blind,Third Eye BlindHow's It Going To Be
587,1997-12-15,26,My Body,LSG,LSGMy Body
588,1997-12-15,27,Quit Playing Games (with My Heart),Backstreet Boys,Backstreet BoysQuit Playing Games (with My Heart)
589,1997-12-15,28,Building A Mystery,Sarah McLachlan,Sarah McLachlanBuilding A Mystery
590,1997-12-15,30,A Song For Mama,Boyz II Men,Boyz II MenA Song For Mama
591,1997-12-15,35,What Would Happen,Meredith Brooks,Meredith BrooksWhat Would Happen
592,1997-12-15,36,All For You,Sister Hazel,Sister HazelAll For You
593,1997-12-15,37,Butta Love,Next,NextButta Love
594,1997-12-15,39,Spice Up Your Life,Spice Girls,Spice GirlsSpice Up Your Life
595,1997-12-15,40,Love You Down,Inoj,InojLove You Down
596,1997-12-22,1,Tubthumping,Chumbawamba,ChumbawambaTubthumping
597,1997-12-22,2,Show Me Love,Robyn,RobynShow Me Love
598,1997-12-22,3,Fly,Sugar Ray,Sugar RayFly
599,1997-12-22,5,All Cried Out,Allure,AllureAll Cried Out
600,1997-12-22,7,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
601,1997-12-22,8,Walkin' On The Sun,Smash Mouth,Smash MouthWalkin' On The Sun
602,1997-12-22,9,I Don't Want To Wait,Paula Cole,Paula ColeI Don't Want To Wait
603,1997-12-22,10,Together Again,Janet Jackson,Janet JacksonTogether Again
604,1997-12-22,11,I Do,Lisa Loeb,Lisa LoebI Do
605,1997-12-22,12,As Long As You Love Me,Backstreet Boys,Backstreet BoysAs Long As You Love Me
606,1997-12-22,14,I Will Come To You,Hanson,HansonI Will Come To You
607,1997-12-22,17,Semi-charmed Life,Third Eye Blind,Third Eye BlindSemi-charmed Life
608,1997-12-22,19,Criminal,Fiona Apple,Fiona AppleCriminal
609,1997-12-22,20,How's It Going To Be,Third Eye Blind,Third Eye BlindHow's It Going To Be
610,1997-12-22,21,My Love Is The Shhh!,Somethin' For The People,Somethin' For The PeopleMy Love Is The Shhh!
611,1997-12-22,24,If You Could Only See,Tonic,TonicIf You Could Only See
612,1997-12-22,27,My Body,LSG,LSGMy Body
613,1997-12-22,28,A Song For Mama,Boyz II Men,Boyz II MenA Song For Mama
614,1997-12-22,29,Quit Playing Games (with My Heart),Backstreet Boys,Backstreet BoysQuit Playing Games (with My Heart)
615,1997-12-22,30,What Would Happen,Meredith Brooks,Meredith BrooksWhat Would Happen
616,1997-12-22,34,Building A Mystery,Sarah McLachlan,Sarah McLachlanBuilding A Mystery
617,1997-12-22,37,Spice Up Your Life,Spice Girls,Spice GirlsSpice Up Your Life
618,1997-12-22,39,Butta Love,Next,NextButta Love
619,1997-12-22,40,Love You Down,Inoj,InojLove You Down
620,1997-12-29,1,Tubthumping,Chumbawamba,ChumbawambaTubthumping
621,1997-12-29,2,Show Me Love,Robyn,RobynShow Me Love
622,1997-12-29,3,Fly,Sugar Ray,Sugar RayFly
623,1997-12-29,6,Walkin' On The Sun,Smash Mouth,Smash MouthWalkin' On The Sun
624,1997-12-29,7,All Cried Out,Allure,AllureAll Cried Out
625,1997-12-29,8,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
626,1997-12-29,9,I Don't Want To Wait,Paula Cole,Paula ColeI Don't Want To Wait
627,1997-12-29,10,Together Again,Janet Jackson,Janet JacksonTogether Again
628,1997-12-29,11,I Do,Lisa Loeb,Lisa LoebI Do
629,1997-12-29,12,As Long As You Love Me,Backstreet Boys,Backstreet BoysAs Long As You Love Me
630,1997-12-29,14,I Will Come To You,Hanson,HansonI Will Come To You
631,1997-12-29,15,Semi-charmed Life,Third Eye Blind,Third Eye BlindSemi-charmed Life
632,1997-12-29,19,How's It Going To Be,Third Eye Blind,Third Eye BlindHow's It Going To Be
633,1997-12-29,20,Criminal,Fiona Apple,Fiona AppleCriminal
634,1997-12-29,21,My Love Is The Shhh!,Somethin' For The People,Somethin' For The PeopleMy Love Is The Shhh!
