chart_order,week,position,song,artist,combo_str
331,1997-09-29,37,My Love Is The Shhh!,Somethin' For The People,Somethin' For The PeopleMy Love Is The Shhh!
332,1997-09-29,38,What About Us,Total,TotalWhat About Us
333,1997-09-29,39,Crash Into Me,Dave Matthews Band,Dave Matthews BandCrash Into Me
334,1997-09-29,40,Butta Love,Next,NextButta Love
335,1997-10-06,2,Quit Playing Games (with My Heart),Backstreet Boys,Backstreet BoysQuit Playing Games (with My Heart)
336,1997-10-06,3,Semi-charmed Life,Third Eye Blind,Third Eye BlindSemi-charmed Life
337,1997-10-06,5,Fly,Sugar Ray,Sugar RayFly
338,1997-10-06,6,2 Become 1,Spice Girls,Spice Girls2 Become 1
339,1997-10-06,7,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
340,1997-10-06,9,All For You,Sister Hazel,Sister HazelAll For You
